,smiles,xyz_file
140,CCOC(=O)C1=C(C)CC1,molecule_195001
141,CON(OC)OCC(C)C,molecule_168986
142,OCCCCc1ccco1,molecule_78078
143,Cc1[nH]n(C)c(=O)c1C,molecule_155836
144,CCn1ccnn1,molecule_162917
145,CO[C@H](C#N)C(C)=O,molecule_198594
146,CCCCCC/C=C/C#N,molecule_92534
147,COC(=O)/C(C#N)=C(\C)N,molecule_255947
148,C1=C[C@@H]2CC[C@H](C=C1)N=N2,molecule_144567
149,CNc1[nH]c(=O)ncc1N,molecule_180903
150,CCOOCO,molecule_219553
151,COc1c(N)cccc1N,molecule_96045
152,c1cc2[nH]cnc2nn1,molecule_243073
153,CCOC1=NC(=O)CO1,molecule_128246
154,C/C=C/CC[C@H](O)C(C)C,molecule_169809
155,CCOC(=O)[C@@H]1CC12CC2,molecule_246514
156,N[C@@H]1CCC(=O)O1,molecule_245867
157,C=COC(C)C,molecule_17203
158,CC#CC1OCCCO1,molecule_252995
159,C=Cc1ccc(C#N)nc1,molecule_255207
160,CCn1cc(CCO)cn1,molecule_232826
161,CC(=O)N[C@H](C)CN(C)C,molecule_255046
162,C[C@H]1CCC[C@@H](C)N1C=O,molecule_249183
163,CC(C)C(=O)N1CCCC1,molecule_251063
164,CCc1nccnc1C,molecule_68327
165,NC(N)=NN1CCOCC1,molecule_257125
166,CC=C=CC[C@H](C)O,molecule_253586
167,Cc1ccc(CN)nn1,molecule_179030
168,N#CC(O)=C(C#N)C#N,molecule_284485
169,OCC[C@@H]1COCO1,molecule_252134
170,CCOCCCC(=O)OC,molecule_92316
171,COC(=O)[C@](C)(O)CN,molecule_238539
172,CC(C)C1=CC[C@H](C)C1=O,molecule_246148
173,C[C@@H]1OC(C)(C)C[C@@H]1O,molecule_250555
174,C[C@]1(O)CC=CCC1,molecule_250914
175,CC1(C)CNCC1(C)C,molecule_251240
176,C/C=C/Cc1ccccn1,molecule_256573
177,C[C@H](N)C1(C)OCCO1,molecule_250823
178,C[C@H]1C=CCC[C@H]1C#N,molecule_127338
179,COC(=O)C1=CCCN1,molecule_209785
180,CCCC(CO)(CO)CO,molecule_15466
181,CC(C)CNC(C)C,molecule_105956
182,Cc1c(O)cccc1C#N,molecule_284988
183,CCOCC1(C=O)COC1,molecule_178119
184,C[C@]1(CO)CCCOC1,molecule_240730
185,C=CCOC(=O)COCC,molecule_83405
186,CCN[C@H](C)C1CC1,molecule_226337
187,C[C@]12CCCC[C@]1(CO)O2,molecule_255030
188,C#C/C(C)=C/CC[C@H](C)O,molecule_254878
189,CC(C)CC#CCC(C)C,molecule_253740
190,N[C@@H]1C[C@H]2CCC[C@H](C2)C1,molecule_289524
191,C1=CC2=CN=NC2=NC1,molecule_284301
192,C[C@H](O)COC(=O)CO,molecule_254770
193,CC1=CCCOC1(C)C,molecule_188042
194,CCn1ccc(C(C)=O)c1,molecule_189601
195,COc1c(C)ncnc1C,molecule_166383
196,COc1nc(=O)c(C)n[nH]1,molecule_127854
197,C=CCC[C@H](C)C=C,molecule_114260
198,CN(O)CCN(C)O,molecule_285847
199,O=C1CCC(=O)N=N1,molecule_109062
200,CCc1occc1C=O,molecule_226307
201,O=C=NCc1ccccc1,molecule_244876
202,CC1(C(=O)O)CCC1,molecule_97185
203,CCCC1=C[C@H](O)CC1=O,molecule_254560
204,C#Cc1ccc(C)cn1,molecule_284561
205,CC1(C2CC2)N=N1,molecule_193098
206,C1=CC[C@@H]2CCCC[C@@H]2C1,molecule_243949
207,Cc1cccc(N)c1O,molecule_284279
208,CC(C)[C@@H]1NCCN1C,molecule_188643
209,C=Cc1nnnn1C,molecule_248079
210,N#CCN1CCCCCC1,molecule_253349
211,C/C=C/C#CC#CCCC,molecule_285139
212,C#CC#CCC,molecule_283870
213,COc1cc(C)cnn1,molecule_139071
214,C[C@@H]1CC(=O)NN1C,molecule_247258
215,CC(C)N1CCN=C1N,molecule_217005
216,C[C@H](C#N)C[C@H](C)C#N,molecule_248039
217,CO[C@](C)(N)C(C)=O,molecule_198343
218,CCO[C@H](C)n1cccn1,molecule_250399
219,Cc1nc(N)nc(N)c1N,molecule_254392
220,CCO[C@@H]1COC[C@@H]1N,molecule_241838
221,CC(C)=C/C=C/C=O,molecule_245462
222,CN(C)C(=O)N(C)C(N)=O,molecule_15574
223,CCc1ccc(=O)oc1C,molecule_155299
224,CCCc1cnc[nH]1,molecule_155912
225,CCCNN1CCOCC1,molecule_62521
226,COC(C)(OC)C(C)=O,molecule_81683
227,C[C@@H]1CCCN1C#N,molecule_250881
228,NNC(=O)CCC(N)=O,molecule_189947
229,C1C[C@H]2N=N[C@@H]1[C@@H]1C[C@H]21,molecule_167730
230,Cc1cnc(CO)c(N)c1,molecule_241565
231,COC(=O)N1CC=CC1,molecule_141652
232,O=C1NCCC12CCCC2,molecule_243825
233,N#C[C@]1(O)CCCNC1=O,molecule_252178
234,CC1CC(=O)N(C)C(=O)C1,molecule_73385
235,C=CC(C)(C)CCCC,molecule_248912
236,C1=C[C@H]2N[C@H]2C=C1,molecule_253898
237,CCN(CC)c1nn[nH]n1,molecule_19192
238,C[C@@H]1CN[C@H](C(=O)O)C1,molecule_244822
239,O=C(O)C1C(O)=C1O,molecule_253286
240,CCn1ncc(C(=O)O)n1,molecule_236259
241,NCCC1CCOCC1,molecule_145034
242,C#Cc1ccc(OC)cc1,molecule_283559
243,C[C@H](O)[C@H](O)[C@H](O)[C@H](C)O,molecule_249953
244,CC[C@H](C)/C(N)=N/O,molecule_286210
245,CCOC(=O)C12CC1C2,molecule_93542
246,COc1c[nH]cc1C#N,molecule_227528
247,CC1(C)OCC[C@@H]1CN,molecule_241023
248,CC(C)[C@]1(C)C[C@@H]1C(=O)O,molecule_248162
249,CC[C@H](C)[C@@H]1CCC(=O)O1,molecule_257369
250,C=Cn1ccnn1,molecule_252182
251,C=CC(=O)c1cnc[nH]1,molecule_253855
252,COn1ccn2nccc12,molecule_221402
253,O=C(O)/C=N/O,molecule_285976
254,COc1ncnnc1CN,molecule_230121
255,O=C1CC=CC=CC=C1O,molecule_285086
256,C[C@H]1[C@H](N)C(=O)N1O,molecule_285633
257,NCC1CC(O)C1,molecule_198694
258,CCC/C=N/O,molecule_283381
259,O=C1CCC[C@H](CCO)C1,molecule_246122
260,CC(=O)CCCC=O,molecule_8785
261,CCOc1cnn(N)c1,molecule_204536
262,C#CC(C)(C)NC(C)=O,molecule_284382
263,Cn1cnc(CC=O)c1,molecule_242796
264,Cc1cc(N)cc(CN)c1,molecule_233208
265,OCCC[C@@H]1CCCNC1,molecule_244190
266,NCCCC1CC1,molecule_48152
267,CN=C(N(C)C)N(C)C,molecule_63147
268,CNCC1(O)CCC1,molecule_238511
269,Nc1cccc2c1OCC2,molecule_247600
270,CCCNC(=O)NCC,molecule_45654
271,NC(=O)Cc1ccccn1,molecule_246090
272,CCCN1CCCOC1=O,molecule_200933
273,CC1=C(O)C(=O)CO1,molecule_284331
274,O=CC(=O)CCC(=O)O,molecule_50294
275,C=C(C)[C@H](C)NC,molecule_244807
276,C=C1CCCCC1,molecule_21241
277,OCCC1=CCC=CC1,molecule_256595
278,Cc1ccc(C(=O)O)[nH]1,molecule_36748
279,NNc1ccncc1N,molecule_250721
280,CCC/N=N/C(C)(C)OO,molecule_285939
281,CCC1=CC[C@H](C)CC1,molecule_254850
282,c1cccnoccc1,molecule_252576
283,C[C@@H](O)C1=CCCC1,molecule_199227
284,CCN1C[C@H](C)N=C1C,molecule_203361
285,C/C=C/COC(=O)CC,molecule_83400
286,Cc1cc(N)c(=O)[nH]c1C,molecule_192586
287,CNCC(=O)c1ccco1,molecule_234420
288,O=C1C[C@@H]2CCC[C@H](C2)O1,molecule_246438
289,COCCNC(N)=O,molecule_81773
290,C1CC2CCC1C21CC1,molecule_6101
291,CN[C@H](C)C1CCC1,molecule_237760
292,C#CCOC/C=C\CC,molecule_218041
293,C=Cc1ccc(CO)o1,molecule_254115
294,CO/C=C/C#N,molecule_133154
295,O=C1CC[C@@H]2CCC[C@@H]2C1,molecule_246240
296,C1=CC12OCCCO2,molecule_254401
297,Nc1cnccn1,molecule_44234
298,CC#C[C@H](O)[C@H](O)C#CC,molecule_256628
299,CCN1CCN1CC,molecule_146633
300,Cc1cncc(C=O)c1,molecule_179298
301,C1CN2CN1C2,molecule_209430
302,CCn1ncc(C=O)n1,molecule_242217
303,O=C1C=CC(=O)N1CCO,molecule_244181
304,CCC[C@](C)(O)C#CC=O,molecule_254027
305,CC[C@H](C)CC[C@H](C)O,molecule_253324
306,CCCC1CCC1,molecule_43165
307,CCN1C=CN(CC)C1,molecule_121524
308,COC(CO)OC,molecule_94896
309,Cc1cc(C)c(O)c(N)n1,molecule_204346
310,CCCN(C)C(=O)C=O,molecule_236928
311,CO[C@@H]1C=CCCC1,molecule_244695
312,C[C@H]1CC=CC[C@H]1C,molecule_245461
313,C[C@H](N)C[C@H](O)CO,molecule_208990
314,CCNCCNCC(=O)O,molecule_190086
315,Cn1cccc1CC(N)=O,molecule_256327
316,CN1COCN(C)C1,molecule_56413
317,O=C1N=NCN1,molecule_243719
318,C[C@@H]1CC2CCC1(C)CC2,molecule_132697
319,CCCC(=O)/C=C/N(C)C,molecule_246497
320,CC[C@H](C)/C=C/C(=O)O,molecule_251571
321,CCC1(CC)C=CC=C1,molecule_254440
322,CC/C=C/CC(C)=O,molecule_85766
323,CC1(C)CC[C@H](O)C[C@@H]1O,molecule_247841
324,CC1=CC(C)(C)CC(=O)O1,molecule_150008
325,CCC(C)=C=C[C@H](C)O,molecule_252066
326,CCCCN1C=NCC1,molecule_112471
327,CC(C)(CO)C(=O)NO,molecule_284815
328,C#C[C@](C)(CC)OC(C)C,molecule_284944
329,C[C@@H]1CCOC1,molecule_17613
330,CC(C)(O)[C@H](N)C(=O)O,molecule_244525
331,CCCc1nnnn1N,molecule_84582
332,C[C@H](O)[C@@H]1CCNC1,molecule_211097
333,COc1ncccc1N,molecule_78658
334,CC[C@@H](O)CC[C@@H](O)CC,molecule_86026
335,C[C@@H]1OC[C@@H]1CC(=O)O,molecule_230858
336,C[C@@H]1OCCN1N=O,molecule_251897
337,ONc1ccncc1,molecule_284772
338,O=C(O)[C@@H]1CC[C@@H](O)[C@@H]1O,molecule_254541
339,CC(C)[C@](C)(O)CN,molecule_228941
340,CC(C)(O)C(=O)C(=O)O,molecule_53077
341,NNCCCN1CCCC1,molecule_141659
342,ON1CCCCCC1,molecule_284035
343,Cc1ccc(C=N)cc1,molecule_46581
344,C=C1C[C@H](CCC)OC1=O,molecule_254009
345,COC(=O)C1(CN)CC1,molecule_223074
346,C/C(=C\C#N)N(C)C,molecule_250867
347,CCC[C@](C)(CC)NC,molecule_255293
348,N[C@@H]1C=C(C(=O)O)CC1,molecule_256946
349,C#CC(C)(O)C#C,molecule_257268
350,O=C(O)C(=O)c1ccco1,molecule_244097
351,CCCOC,molecule_9872
352,CCCN(C)N,molecule_43937
353,CCCC(=O)C(=O)CCC,molecule_246098
354,CC(=O)c1occc1C=O,molecule_248676
355,C[C@@H]1O[C@H](C)[C@H](O)[C@H]1O,molecule_194038
356,C1=C[C@@H]2CCC[C@H](C1)CC2,molecule_251341
357,COC(=O)/C=C(/C)C=O,molecule_108462
358,CN1CCN(N)CC1,molecule_54742
359,C[C@H]1CNC[C@@H](C)N1,molecule_4058
360,C/C(=C\C#N)N1CCCC1,molecule_201776
361,C[C@@H]1CNCC[C@]1(C)O,molecule_242361
362,COCCOCOCCO,molecule_109445
363,CCN[C@H](CO)C(C)C,molecule_192763
364,C1=CNC2=COC=CC2=C1,molecule_283396
365,O=c1ccn(CCO)cc1,molecule_252874
366,COC(=O)/C=C(\C)C(C)=O,molecule_197129
367,N/C(N=O)=C(/N)NO,molecule_283729
368,CNCc1nccc(C)n1,molecule_227748
369,CC1=C(C)CCC1,molecule_243523
370,CCN[C@@H]1CCN(C)C1,molecule_228246
371,C/C(=N\O)C(C)(C)NN,molecule_285197
372,C[C@@]1(N)CCONC1=O,molecule_215666
373,C#CC1(N)CCCC1,molecule_284789
374,O=C1NCCN1C1CC1,molecule_254977
375,CNCc1nccn1C,molecule_213792
376,N#Cc1ccoc1,molecule_93888
377,COCC(=O)CC(=O)O,molecule_150544
378,N#CCCCN1CCCC1,molecule_101638
379,C=CC(C)(C)CC#N,molecule_254721
380,C[C@@H]1CC[C@H](O)CN1C,molecule_253361
381,C1=CN=CCC1,molecule_256055
382,CCOC1=NC[C@@H](C)N1,molecule_188109
383,O=C(O)[C@@H]1C=NC=NC1=O,molecule_255667
384,N[C@H](CCC(=O)O)C(=O)O,molecule_422
385,CC(=O)C(C)(C)CC(N)=O,molecule_256493
386,CCCCC(O)(CC)CC,molecule_77375
387,CC[C@H](O)[C@H](O)C(=O)O,molecule_250099
388,CCC/C(=N\O)C(=O)CC,molecule_284783
389,CCc1c[nH]c(=O)cn1,molecule_192339
390,C=CC/C=C/CCCC=C,molecule_243847
391,Cc1ccc(=N)n(O)c1,molecule_285347
392,N#CCCC1CCCC1,molecule_243951
393,CC(=O)CN(C)C(C)C,molecule_226113
394,CC[C@@H]1CC[C@@H](C(N)=O)N1,molecule_180489
395,CCN/N=N/CC(C)C,molecule_116568
396,CCN(C)C1CCNCC1,molecule_227549
397,C=CCn1nc(C)cc1C,molecule_247581
398,Cc1ccc2n1CCC2,molecule_56941
399,N[C@]1(CO)CCNC1=O,molecule_186797
400,C=CCC[C@H](C)C(C)=O,molecule_205750
401,CCN=C=O,molecule_4267
402,CN(C)CCCNC=O,molecule_26979
403,Cc1ccc(C)n1N(C)C,molecule_80759
404,C#CC(N(C)C)N(C)C,molecule_285990
405,C#C[C@H](C)CC(=O)OC,molecule_285949
406,O=NN1CC=CCC1,molecule_253494
407,N#C[C@@H]1NC(=O)[C@@H]2C[C@H]12,molecule_256646
408,CCC[C@H](CC)OC(C)=O,molecule_252024
409,COCc1ccncc1,molecule_78207
410,c1ccc2c(c1)NCCO2,molecule_246300
411,COC[C@H](C)C=O,molecule_61864
412,CC(=O)CC(=O)CC#N,molecule_185519
413,CCCC1=NC(C)(C)CO1,molecule_245445
414,C[C@@H]1C=CC[C@@H](C(N)=O)O1,molecule_183303
415,CC(C)=C=C=C(C)C,molecule_277990
416,CCOC(=O)C1CC(O)C1,molecule_71934
417,O=C1CNC1,molecule_72718
418,COC(=N)c1cccnn1,molecule_128380
419,CCN(C(C)=O)C(N)=O,molecule_221332
420,CCNCc1coc(C)n1,molecule_225082
421,COCC[C@H](N)C(C)(C)C,molecule_232264
422,CCCNc1n[nH]c(N)n1,molecule_167598
423,C[C@@H]1NC(=O)[C@H](C)N1C,molecule_175804
424,C=CCOC(=O)C(C)C,molecule_68349
425,CN[C@H](C)c1ccccn1,molecule_184991
426,CCCc1noc(=O)n1C,molecule_139320
427,N#C[C@@H]1COC(=O)O1,molecule_218451
428,C=CCn1ccccc1=N,molecule_252431
429,CCc1nnnn1C,molecule_173175
430,N#CC(=O)O,molecule_76120
431,NNN=O,molecule_110583
432,CO[C@@H]1CCC[C@@H]1OC,molecule_250569
433,CC/C=C\C[C@@H]1CO1,molecule_253741
434,C[C@@H]1CNC(C)(C)CN1,molecule_192333
435,CC1(C)C(O)C1(C)C,molecule_283591
436,C[C@H]1CCCC[C@H]1C,molecule_10219
437,C=CCC[C@H](C)NO,molecule_285055
438,COC(C)(C)CN,molecule_170260
439,CCCN1C(=O)C[C@@H]1C,molecule_186275
440,CN(N)c1cnncc1N,molecule_118756
441,CC1=CC(=O)C(N)=CC1=O,molecule_250744
442,COC[C@H](N)CC(C)(C)C,molecule_239562
443,OC1(O)CC1,molecule_67560
444,CN(CC(=O)O)C1CC1,molecule_228169
445,CC[C@H](CO)C(C)C,molecule_250819
446,OC1=C(O)CCCC1,molecule_284755
447,CCc1nc(CN)no1,molecule_222307
448,NC(=O)c1cnc(N)nc1,molecule_243310
449,C=C(C#N)CCC#N,molecule_244170
450,C#CC[C@@H](C)CC,molecule_289638
451,CCOC(=O)C#CCOC,molecule_206812
452,CC[C@@H]1COCCN1,molecule_253446
453,Cc1ccc(C(=O)C#N)o1,molecule_219897
454,CC#CCC(=O)OCC,molecule_252902
455,Cc1ccnn2ccnc12,molecule_72455
456,CCN(C)CC(=O)NN,molecule_230257
457,Cc1cn2cccc2cn1,molecule_143868
458,CC1=C(O)C(=O)[C@H](C)CC1,molecule_283743
459,Cc1cccc(C(C)C)c1,molecule_9300
460,CN(C)Cc1ccoc1,molecule_72356
461,C[C@H](CO)[C@H](C)CO,molecule_253888
462,CC[C@](C)(O)C(=O)O,molecule_26832
463,O=C[C@@H]1CCCC1=O,molecule_243986
464,NCCCN1CC=CC1,molecule_251588
465,CCN(CC)NC=O,molecule_33743
466,OCCN1CCCCO1,molecule_235859
467,c1cnc2c[nH]cc2c1,molecule_242891
468,O=C1NC(=O)C2CC1C2,molecule_41818
469,Cc1ccc(CCC=O)o1,molecule_100140
470,C[C@H](CN)N1CCNCC1,molecule_250571
471,CC(C)CCC(CO)CO,molecule_32269
472,C=C[C@H](N)C(=O)O,molecule_117757
473,COC(=O)[C@@H]1CCN(C)C1,molecule_251170
474,CCCC(=O)[C@H](C)C(C)C,molecule_246504
475,CC/C=C/COCCCC,molecule_253174
476,N#CC1(C(N)=O)CC1,molecule_23026
477,C[C@]1(O)CCC(=O)[C@@H]1O,molecule_223378
478,COC(=N)C(C)(C)C,molecule_150162
479,C#CCN(C(C)C)C(C)C,molecule_284020
480,C/C=C/C(=O)C1CC1,molecule_254928
481,CCO[C@H](C)n1ncnn1,molecule_257086
482,CN(N)CCCN,molecule_169586
483,COCCCNCCO,molecule_106297
484,COCO,molecule_41238
485,CNC(=O)C1CC(=O)C1,molecule_240883
486,C/C=C1/C=CC(=O)CC1,molecule_256930
487,O=C1CCC[C@@H]2[C@H](O)C[C@H]12,molecule_255315
488,O=c1[nH]ncn2cccc12,molecule_252482
489,C=C(CC)N=C=O,molecule_245773
490,CCCCC/C=C/CC#N,molecule_92726
491,C=CC#CCCO,molecule_244811
492,CC(=O)CO,molecule_5094
493,COC(CCC#N)OC,molecule_66580
494,CN(C)C(=O)c1ccco1,molecule_62076
495,CC(C)(NC(N)=O)C(=O)O,molecule_105402
496,COCC[C@H](C)C(=O)O,molecule_102001
497,COc1ccc(NN)nc1,molecule_216059
498,CCCC1(C)NN1,molecule_253111
499,C=C(C(C)=O)C(=O)O,molecule_245764
500,NC1=NCC[C@H](O)N1,molecule_252401
501,C[C@@H]1CC[C@H](C)C(C)(C)C1,molecule_253294
502,C=CCn1cnnn1,molecule_257228
503,CCC(=O)C(N)=O,molecule_248893
504,CC(=O)N(N=O)C(C)=O,molecule_254758
505,CO[C@H](C)NC(C)=O,molecule_123325
506,CCCC[C@@H]1C[C@@H]1CO,molecule_179669
507,C[C@H](O)C(=O)C(C)(C)C,molecule_116795
508,C=CCN1C(=O)CNC1=O,molecule_170745
509,CON1C(C)(C)C1(C)C,molecule_89752
510,CC(=O)CC(C)=O,molecule_5280
511,CCCC[C@H](N)CC,molecule_91431
512,COC(=O)COC(C)=O,molecule_49655
513,COC(OC)C(C)(C)CO,molecule_167708
514,O=C1NOCC12CCCC2,molecule_254913
515,CC(=O)CCC(=O)N(C)C,molecule_63171
516,COCCNC[C@H](C)O,molecule_121029
517,CCCc1cc(=O)nc[nH]1,molecule_70051
518,CO[C@@H]1COC(=O)N1,molecule_244078
519,C=C/C=C/CCC(N)=O,molecule_154937
520,CCC(=O)OC[C@H](C)O,molecule_246166
521,O=C1O[C@@H]2CC[C@@H]2O1,molecule_248816
522,COC[C@](C)(O)CCN,molecule_239514
523,CC(C)CC(C)(C)C(=O)O,molecule_16395
524,C[C@H](CO)C(C)(C)C,molecule_251504
525,C=CCC(C)(C)NO,molecule_286060
526,c1ccc2c(c1)COOC2,molecule_245617
527,COC(=O)[C@H](C)CN(C)C,molecule_59631
528,CN(C)C(=O)/C(N)=N/O,molecule_286307
529,CC(C)NC(=O)CN,molecule_47143
530,CC[C@@H]1O[C@H](C)[C@H](O)C1=O,molecule_256381
531,CC(C)C/C=N/CCO,molecule_223344
532,COc1nnc(CN)o1,molecule_224284
533,Nc1cnccc1C(=O)O,molecule_247154
534,Nc1ccn(CCO)n1,molecule_165934
535,CC1OC(C)(C)C(C)(C)O1,molecule_245502
536,C=C=C(C)C(C)(C)C,molecule_247086
537,C=C1C[C@@H]1COC,molecule_165184
